STATION,STATION_NAME,DATE,HPCP
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130511 03:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130511 10:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130511 13:00,5.08
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130511 15:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130519 05:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130522 12:00,10.16
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130523 16:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130523 23:00,7.62
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130524 00:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130524 02:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130524 12:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130524 14:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130524 16:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130525 03:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130525 22:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130528 13:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130528 14:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130528 15:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130529 08:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130601 01:00,0.00
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130602 13:00,22.86
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130603 08:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130701 00:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130701 01:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130801 00:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130801 01:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130901 00:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130901 01:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20131001 00:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20131001 01:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20131101 00:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20131101 01:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20131201 00:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20131201 01:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20140101 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20130101 00:00,25399.75
COOP:303851,HIGHMARKET NY US,20130101 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130103 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130104 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130104 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130104 03:00,2.54
COOP:303851,HIGHMARKET NY US,20130105 02:00,2.54
COOP:303851,HIGHMARKET NY US,20130106 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130106 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130106 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130111 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130111 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130114 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130117 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130122 03:00,2.54
COOP:303851,HIGHMARKET NY US,20130122 08:00,2.54
COOP:303851,HIGHMARKET NY US,20130125 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130128 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130128 17:00,2.54
COOP:303851,HIGHMARKET NY US,20130128 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130129 15:00,2.54
COOP:303851,HIGHMARKET NY US,20130129 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130129 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130129 23:00,5.08
COOP:303851,HIGHMARKET NY US,20130130 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130130 01:00,2.54
COOP:303851,HIGHMARKET NY US,20130130 14:00,2.54
COOP:303851,HIGHMARKET NY US,20130130 17:00,2.54
COOP:303851,HIGHMARKET NY US,20130130 20:00,2.54
COOP:303851,HIGHMARKET NY US,20130130 21:00,2.54
COOP:303851,HIGHMARKET NY US,20130130 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130130 23:00,7.62
COOP:303851,HIGHMARKET NY US,20130131 00:00,7.62
COOP:303851,HIGHMARKET NY US,20130131 01:00,7.62
COOP:303851,HIGHMARKET NY US,20130131 02:00,7.62
COOP:303851,HIGHMARKET NY US,20130131 03:00,5.08
COOP:303851,HIGHMARKET NY US,20130131 04:00,7.62
COOP:303851,HIGHMARKET NY US,20130131 05:00,2.54
COOP:303851,HIGHMARKET NY US,20130131 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130131 11:00,2.54
COOP:303851,HIGHMARKET NY US,20130131 23:00,2.54
COOP:303851,HIGHMARKET NY US,20130201 01:00,0.00
COOP:303851,HIGHMARKET NY US,20130201 04:00,25399.75
COOP:303851,HIGHMARKET NY US,20130204 05:00,25399.75
COOP:303851,HIGHMARKET NY US,20130204 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130208 13:00,2.54
COOP:303851,HIGHMARKET NY US,20130208 19:00,2.54
COOP:303851,HIGHMARKET NY US,20130208 20:00,2.54
COOP:303851,HIGHMARKET NY US,20130211 18:00,2.54
COOP:303851,HIGHMARKET NY US,20130212 04:00,2.54
COOP:303851,HIGHMARKET NY US,20130212 06:00,2.54
COOP:303851,HIGHMARKET NY US,20130212 09:00,2.54
COOP:303851,HIGHMARKET NY US,20130212 22:00,2.54
COOP:303851,HIGHMARKET NY US,20130215 00:00,2.54
COOP:303851,HIGHMARKET NY US,20130215 03:00,2.54
COOP:303851,HIGHMARKET NY US,20130215 09:00,2.54
COOP:303851,HIGHMARKET NY US,20130220 01:00,25399.75
