true_values,predicted_values,abs_loss,,,
13.999,15.07,1.071,,,
12.662,13.999,1.337,,,
11.702,12.662,0.96,,,
11.654,11.702,0.048,,,
9.15,11.654,2.504,,,
7.315,9.15,1.835,,,
4.723,7.315,2.592,,,
2.669,4.723,2.054,,,
0.996,2.669,1.673,,,
0.381,0.996,0.615,,,
0.583,0.381,0.202,,,
0.003,0.583,0.58,,,
0.032,0.003,0.029,,,
0.034,0.032,0.002,,,
0,0.034,0.034,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0.025,0,0.025,,,
0.047,0.025,0.022,,,
0.067,0.047,0.02,,,
0.083,0.067,0.016,,,
0.231,0.083,0.148,,,
0.325,0.231,0.094,,,
0.327,0.325,0.002,,,
0.402,0.327,0.075,,,
0.353,0.402,0.049,,,
0.085,0.353,0.268,,,
0.077,0.085,0.008,,,
0.15,0.077,0.073,,,
0.15,0.15,0,,,
0.184,0.15,0.034,,,
0.319,0.184,0.135,,,
0.405,0.319,0.086,,,
0.613,0.405,0.208,,,
0.769,0.613,0.156,,,
0.782,0.769,0.013,,,
0.716,0.782,0.066,,,
0.673,0.716,0.043,,,
0.543,0.673,0.13,,,
0.468,0.543,0.075,,,
0.594,0.468,0.126,,,
1.044,0.594,0.45,,,
1.7,1.044,0.656,,,
2.002,1.7,0.302,,,
1.942,2.002,0.06,,,
1.742,1.942,0.2,,,
1.546,1.742,0.196,,,
1.724,1.546,0.178,,,
2.079,1.724,0.355,,,
2.087,2.079,0.008,,,
1.951,2.087,0.136,,,
1.59,1.951,0.361,,,
1.081,1.59,0.509,,,
0.883,1.081,0.198,,,
0.984,0.883,0.101,,,
1.106,0.984,0.122,,,
1.338,1.106,0.232,,,
1.323,1.338,0.015,,,
1.098,1.323,0.225,,,
0.802,1.098,0.296,,,
0.614,0.802,0.188,,,
0.454,0.614,0.16,,,
0.367,0.454,0.087,,,
0.258,0.367,0.109,,,
0.134,0.258,0.124,,,
0.072,0.134,0.062,,,
0.061,0.072,0.011,,,
0.049,0.061,0.012,,,
0.034,0.049,0.015,,,
0.023,0.034,0.011,,,
0.018,0.023,0.005,,,
0.034,0.018,0.016,,,
0.051,0.034,0.017,,,
0.063,0.051,0.012,,,
0.071,0.063,0.008,,,
0.069,0.071,0.002,,,
0.064,0.069,0.005,,,
0.079,0.064,0.015,,,
0.131,0.079,0.052,,,
0.162,0.131,0.031,,,
0.085,0.162,0.077,,,
0.064,0.085,0.021,,,
0.058,0.064,0.006,,,
0.051,0.058,0.007,,,
0.029,0.051,0.022,,,
0,0.029,0.029,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0.009,0,0.009,,,
0.032,0.009,0.023,,,
0.048,0.032,0.016,,,
0.058,0.048,0.01,,,
0.073,0.058,0.015,,,
0.079,0.073,0.006,,,
0.081,0.079,0.002,,,
0.128,0.081,0.047,,,
0.126,0.128,0.002,,,
0.084,0.126,0.042,,,
0.076,0.084,0.008,,,
0.078,0.076,0.002,,,
0.079,0.078,0.001,,,
0.072,0.079,0.007,,,
0.069,0.072,0.003,,,
0.068,0.069,0.001,,,
0.071,0.068,0.003,,,
0.083,0.071,0.012,,,
0.084,0.083,0.001,,,
0.118,0.084,0.034,,,
0.31,0.118,0.192,,,
0.325,0.31,0.015,,,
0.384,0.325,0.059,,,
0.476,0.384,0.092,,,
